country,date,GDP growth,Unemployment_TLF,Unemployment_AEF,Unemployment_AEM,Unemployment_AET
Japan,1971-01-01,4.69899204247098,,,,
Japan,1970-01-01,2.51295330654399,,,,
Japan,1969-01-01,12.4778945144976,,,,
Japan,1968-01-01,12.8824681383234,,,,
Japan,1967-01-01,11.0821423246929,,,,
Japan,1966-01-01,10.6385615591629,,,,
Japan,1965-01-01,5.81970787298265,,,,
Japan,1964-01-01,11.6767081963977,,,,
Japan,1963-01-01,8.47364238279391,,,,
Japan,1962-01-01,8.90897299558067,,,,
Japan,1961-01-01,12.0435364080116,,,,
Japan,1960-01-01,,,,,
Morocco,2020-01-01,-6.29325315954672,10.15,,,
Morocco,2019-01-01,2.60793549462446,9.01,,,
Morocco,2018-01-01,3.148502655914,9.08,,,
Morocco,2017-01-01,4.25460327324099,9.19,,,
Morocco,2016-01-01,1.05985639008179,9.3,,,
Morocco,2015-01-01,4.53637816806425,9.46,,,
Morocco,2014-01-01,2.66949392694423,9.7,,,
Morocco,2013-01-01,4.53542420003856,9.23,,,
Morocco,2012-01-01,3.00996126221978,8.99,,,
Morocco,2011-01-01,5.24569729729485,8.91,,,
Morocco,2010-01-01,3.8157179167666,9.09,,,
Morocco,2009-01-01,4.24375732083367,8.96,,,
Morocco,2008-01-01,5.92327768597593,9.57,,,
Morocco,2007-01-01,3.53159415154489,9.56,,,
Morocco,2006-01-01,7.57463164458541,9.67,,,
Morocco,2005-01-01,3.29163968433596,11.01,,,
Morocco,2004-01-01,4.79701836216324,10.83,,,
Morocco,2003-01-01,5.96116215478284,11.92,41.3199996948242,24.4400005340576,30.2800006866455
Morocco,2002-01-01,3.12144965600538,11.59,38.810001373291,21.1900005340576,27.1700000762939
Morocco,2001-01-01,7.31996745420717,12.46,,,
Morocco,2000-01-01,1.91287298063767,13.58,,,
Morocco,1999-01-01,1.08133256173805,13.94,,,
Morocco,1998-01-01,7.23855268965383,13.88,,,
Morocco,1997-01-01,-1.56070235606454,13.88,,,
Morocco,1996-01-01,12.3728762760077,13.89,,,
Morocco,1995-01-01,-5.40544786715996,13.89,40.8699989318848,21.9699993133545,29.1800003051758
Morocco,1994-01-01,10.5880004006168,13.9,,,
Morocco,1993-01-01,-0.740591692022178,13.84,,,
Morocco,1992-01-01,-2.09773876147652,13.67,,,
Morocco,1991-01-01,7.21608816138237,13.57,,,
Morocco,1990-01-01,3.4118122263138,,,,
Morocco,1989-01-01,2.84620258129334,,,,
Morocco,1988-01-01,11.8752359788077,,,,
Morocco,1987-01-01,-0.325004075718994,,,,
Morocco,1986-01-01,9.27110576947608,,,,
Morocco,1985-01-01,6.00765207156169,,,,
Morocco,1984-01-01,6.41838632127607,,,,
Morocco,1983-01-01,1.38656957718641,,,,
Morocco,1982-01-01,8.95737202264262,,,,
Morocco,1981-01-01,-1.74343493044302,,,,
Morocco,1980-01-01,3.64216481331357,,,,
Morocco,1979-01-01,4.79378720509548,,,,
Morocco,1978-01-01,2.23266338830095,,,,
Morocco,1977-01-01,6.05916767916479,,,,
Morocco,1976-01-01,10.8127813441382,,,,
Morocco,1975-01-01,7.55822156130436,,,,
Morocco,1974-01-01,5.59604994452371,,,,
Morocco,1973-01-01,3.55931083191807,,,,
Morocco,1972-01-01,2.4372373471504,,,,
Morocco,1971-01-01,5.59689365914973,,,,
Morocco,1970-01-01,4.71346037552107,,,,
Morocco,1969-01-01,8.36216535667576,,,,
Morocco,1968-01-01,9.89173930643229,,,,
Morocco,1967-01-01,10.0288413599463,,,,
Morocco,1966-01-01,,,,,
Morocco,1965-01-01,,,,,
Morocco,1964-01-01,,,,,
Morocco,1963-01-01,,,,,
Morocco,1962-01-01,,,,,
Morocco,1961-01-01,,,,,
Morocco,1960-01-01,,,,,
Portugal,2020-01-01,-8.44245642824731,7.2,,,
Portugal,2019-01-01,2.68275992118076,6.46,5.61999988555908,4.84000015258789,5.30999994277954
Portugal,2018-01-01,2.84932593436179,6.99,5.53000020980835,5.13000011444092,5.38000011444092
Portugal,2017-01-01,3.5063452848124,8.87,6.46999979019165,6.44000005722046,6.44999980926514
Portugal,2016-01-01,2.01948539561312,11.07,8.59000015258789,8.0,8.35999965667725
Portugal,2015-01-01,1.79204604555983,12.44,9.63000011444092,8.64000034332275,9.23999977111816
Portugal,2014-01-01,0.792190301875365,13.89,11.1700000762939,8.10000038146973,9.97999954223633
Portugal,2013-01-01,-0.922644674527888,16.18,13.8900003433228,10.6099996566772,12.6199998855591
Portugal,2012-01-01,-4.05729360769561,15.53,11.960000038147,11.1800003051758,11.6499996185303
Portugal,2011-01-01,-1.69616478061504,12.68,8.63000011444092,9.46000003814697,8.97000026702881
Portugal,2010-01-01,1.73762547590566,10.77,7.6399998664856,5.98999977111816,7.0
Portugal,2009-01-01,-3.12207942033321,9.43,6.46999979019165,6.38000011444092,6.44000005722046
Portugal,2008-01-01,0.319247925063081,7.55,8.0600004196167,4.92999982833862,6.82000017166138
Portugal,2007-01-01,2.50657964551773,7.96,8.71000003814697,5.46999979019165,7.42000007629395
Portugal,2006-01-01,1.62503417629674,7.65,7.23999977111816,4.8600001335144,6.26999998092651
Portugal,2005-01-01,0.78184821592744,7.58,6.71999979019165,5.51999998092651,6.23000001907349
Portugal,2004-01-01,1.78873568157121,6.32,4.46999979019165,4.25,4.38000011444092
Portugal,2003-01-01,-0.930521192623061,6.13,6.23000001907349,4.01000022888184,5.34999990463257
Portugal,2002-01-01,0.770924024291219,4.5,5.30000019073486,1.67999994754791,3.92000007629395
Portugal,2001-01-01,1.94367229584959,3.83,3.16000008583069,1.73000001907349,2.5699999332428
Portugal,2000-01-01,3.81617806346979,3.81,2.94000005722046,2.35999989509583,2.69000005722046
Portugal,1999-01-01,3.90657744002579,4.58,3.14000010490417,3.55999994277954,3.3199999332428
Portugal,1998-01-01,4.80796297573329,4.65,3.17000007629395,,2.75
Portugal,1997-01-01,4.40086775381248,6.57,,,
Portugal,1996-01-01,3.50424706916527,7.3,,,
Portugal,1995-01-01,4.28278045950353,7.06,,,
Portugal,1994-01-01,0.964837925343673,6.71,,,
Portugal,1993-01-01,-2.04327653157694,5.3,,,
Portugal,1992-01-01,1.08947640831229,3.99,,,
Portugal,1991-01-01,4.36820646267402,3.92,,,
Portugal,1990-01-01,3.95052276325154,,,,
Portugal,1989-01-01,6.44063924027603,,,,
Portugal,1988-01-01,7.4891082892814,,,,
Portugal,1987-01-01,6.38139413490335,,,,
Portugal,1986-01-01,4.14095567971992,,,,
Portugal,1985-01-01,2.80743885129478,,,,
Portugal,1984-01-01,-1.87997908934653,,,,
Portugal,1983-01-01,-0.173113548251848,,,,
Portugal,1982-01-01,2.13537507759274,,,,
Portugal,1981-01-01,1.61810421541844,,,,
Portugal,1980-01-01,4.58933992368382,,,,
Portugal,1979-01-01,5.63893782270115,,,,
Portugal,1978-01-01,2.81596615285167,,,,
Portugal,1977-01-01,5.602597312963,,,,
Portugal,1976-01-01,6.90023041389311,,,,
Portugal,1975-01-01,-4.34763054504394,,,,
Portugal,1974-01-01,1.14285932449492,,,,
Portugal,1973-01-01,11.2006720107906,,,,
Portugal,1972-01-01,8.01569570155887,,,,
Portugal,1971-01-01,6.63165299963858,,,,
Portugal,1970-01-01,12.6126054618915,,,,
Portugal,1969-01-01,2.12074116169632,,,,
Portugal,1968-01-01,8.8755092337672,,,,
Portugal,1967-01-01,7.54448252894966,,,,
